Catchment,Latitude,Longitude,Year,Stream Flow Cal Yr,Stream Flow Wat Yr,Stream 0 Flow Days
42,47.052117,-84.3974117,1985,3.206958904,3.036821918,3
42,47.052117,-84.3974117,1986,2.702219178,3.298191781,7
42,47.052117,-84.3974117,1987,1.863452055,1.693287671,31
42,47.052117,-84.3974117,1988,3.54726776,3.191393443,53
42,47.052117,-84.3974117,1989,2.187671233,2.944356164,72
42,47.052117,-84.3974117,1990,2.840383562,2.541534247,76
42,47.052117,-84.3974117,1991,4.225835616,3.099424658,52
42,47.052117,-84.3974117,1992,3.116120219,4.079726776,40
42,47.052117,-84.3974117,1993,3.396794521,3.195013699,89
42,47.052117,-84.3974117,1994,2.28569863,2.707917808,193
42,47.052117,-84.3974117,1995,2.927342466,2.513232877,150
42,47.052117,-84.3974117,1996,3.170464481,3.401857923,72
42,47.052117,-84.3974117,1997,1.97660274,2.724767123,126
42,47.052117,-84.3974117,1998,2.251013699,1.596383562,287
42,47.052117,-84.3974117,1999,2.185342466,2.410109589,181
42,47.052117,-84.3974117,2000,1.955710383,2.296557377,94
42,47.052117,-84.3974117,2001,2.902958904,1.98490411,163
42,47.052117,-84.3974117,2002,2.969342466,3.363506849,156
42,47.052117,-84.3974117,2003,3.001287671,2.572219178,135
42,47.052117,-84.3974117,2004,2.839754098,3.202704918,116
42,47.052117,-84.3974117,2005,2.299945205,1.972931507,144
42,47.052117,-84.3974117,2006,2.194767123,2.09939726,189
42,47.052117,-84.3974117,2007,1.771150685,2.208684932,203
42,47.052117,-84.3974117,2008,2.407322404,2.887131148,115
42,47.052117,-84.3974117,2009,2.149123288,2.066684932,177
42,47.052117,-84.3974117,2010,1.810054795,1.267150685,161
42,47.052117,-84.3974117,2011,2.457205479,2.247315068,117
46,47.063032,-84.4005019,1981,8.429835616,9.265457875,
46,47.063032,-84.4005019,1982,9.701150685,7.742191781,0
46,47.063032,-84.4005019,1983,8.762876712,9.877753425,0
46,47.063032,-84.4005019,1984,8.862595628,8.252459016,0
46,47.063032,-84.4005019,1985,11.59520548,10.67052055,30
46,47.063032,-84.4005019,1986,11.79906849,13.04567123,4
46,47.063032,-84.4005019,1987,8.657205479,7.78,30
46,47.063032,-84.4005019,1988,15.13931694,14.09308743,58
46,47.063032,-84.4005019,1989,8.942931507,11.746,85
46,47.063032,-84.4005019,1990,13.16619178,10.15252055,64
46,47.063032,-84.4005019,1991,12.85673973,12.42221918,67
46,47.063032,-84.4005019,1992,12.25827869,14.04172131,5
46,47.063032,-84.4005019,1993,11.68082192,12.32526027,0
46,47.063032,-84.4005019,1994,7.601342466,8.312821918,58
46,47.063032,-84.4005019,1995,7.853178082,7.230356164,67
46,47.063032,-84.4005019,1996,10.01286885,10.61674863,0
46,47.063032,-84.4005019,1997,5.756465753,7.359123288,79
46,47.063032,-84.4005019,1998,6.05630137,4.275671233,83
46,47.063032,-84.4005019,1999,6.188794521,6.947479452,71
46,47.063032,-84.4005019,2000,6.094863388,6.918415301,29
46,47.063032,-84.4005019,2001,8.586246575,6.334027397,108
46,47.063032,-84.4005019,2002,6.889726027,8.25739726,47
46,47.063032,-84.4005019,2003,8.054027397,6.883013699,54
46,47.063032,-84.4005019,2004,8.064453552,8.180437158,49
46,47.063032,-84.4005019,2005,5.260219178,5.893835616,112
46,47.063032,-84.4005019,2006,5.681013699,5.240191781,95
46,47.063032,-84.4005019,2007,5.341534247,5.593013699,146
46,47.063032,-84.4005019,2008,NA,NA,NA
46,47.063032,-84.4005019,2009,NA,NA,NA
46,47.063032,-84.4005019,2010,NA,NA,NA
46,47.063032,-84.4005019,2011,NA,NA,NA
47,47.062403,-84.3867043,1981,0.822082192,0.975128205,
47,47.062403,-84.3867043,1982,0.795260274,0.605369863,108
47,47.062403,-84.3867043,1983,0.552465753,0.698520548,92
47,47.062403,-84.3867043,1984,0.63704918,0.542322404,25
47,47.062403,-84.3867043,1985,0.636164384,0.734410959,39
47,47.062403,-84.3867043,1986,0.552931507,0.596520548,51
47,47.062403,-84.3867043,1987,0.499863014,0.416712329,66
47,47.062403,-84.3867043,1988,0.85863388,0.774808743,66
47,47.062403,-84.3867043,1989,0.583917808,0.704849315,89
47,47.062403,-84.3867043,1990,0.601890411,0.569260274,92
47,47.062403,-84.3867043,1991,0.668520548,0.581671233,90
47,47.062403,-84.3867043,1992,0.483333333,0.616775956,93
47,47.062403,-84.3867043,1993,0.655835616,0.631726027,37
47,47.062403,-84.3867043,1994,0.592821918,0.558136986,167
47,47.062403,-84.3867043,1995,0.576109589,0.543863014,124
47,47.062403,-84.3867043,1996,0.720382514,0.740655738,44
47,47.062403,-84.3867043,1997,0.454219178,0.634493151,93
47,47.062403,-84.3867043,1998,0.500493151,0.326328767,146
47,47.062403,-84.3867043,1999,0.561260274,0.580493151,96
47,47.062403,-84.3867043,2000,0.586120219,0.686256831,42
47,47.062403,-84.3867043,2001,0.714136986,0.494575342,81
47,47.062403,-84.3867043,2002,0.643287671,0.770054795,74
47,47.062403,-84.3867043,2003,1.007616438,0.618109589,100
47,47.062403,-84.3867043,2004,0.632322404,0.961311475,73
47,47.062403,-84.3867043,2005,0.440630137,0.494356164,113
47,47.062403,-84.3867043,2006,0.442191781,0.418164384,117
47,47.062403,-84.3867043,2007,0.305589041,0.338027397,167
47,47.062403,-84.3867043,2008,0.581530055,0.666256831,81
47,47.062403,-84.3867043,2009,0.569561644,0.521726027,66
47,47.062403,-84.3867043,2010,0.409068493,0.395972603,44
47,47.062403,-84.3867043,2011,0.51460274,0.460849315,60
49,47.065159,-84.3892035,1981,3.594465753,4.12043956,
49,47.065159,-84.3892035,1982,3.829315068,2.954520548,30
49,47.065159,-84.3892035,1983,3.455342466,4.027123288,33
49,47.065159,-84.3892035,1984,3.63647541,3.180464481,0
49,47.065159,-84.3892035,1985,3.364383562,3.901369863,5
49,47.065159,-84.3892035,1986,3.885479452,3.618082192,0
49,47.065159,-84.3892035,1987,2.536164384,2.630684932,18
49,47.065159,-84.3892035,1988,4.50010929,4.145655738,49
